tpep_pickup_datetime,PULocationID,DOLocationID,trip_distance,pickup_hour,trip_duration_min,prediction,abs_error
2026-01-08 16:09:23,200,231,13.1,16,35.5,77.54793,42.04792785644531
2026-01-23 08:11:55,97,152,8.5,8,94.41666666666669,52.40697,42.00969568888348
2026-01-12 16:10:31,87,218,15.8,16,116.85,74.91418,41.935823059082026
2026-01-28 16:23:58,236,217,7.6,16,77.36666666666666,35.761925,41.604741923014316
2026-01-13 10:15:15,41,61,15.4,10,128.66666666666666,87.15298,41.51368967692056
2026-01-30 10:04:51,18,75,7.1,10,85.85,44.383675,41.46632537841796
2026-01-29 15:58:44,230,132,16.53,15,103.63333333333334,62.23221,41.401125081380215
2026-01-29 11:57:19,138,230,11.62,11,86.05,44.717213,41.332787322998044
2026-01-23 01:18:06,170,265,52.12,1,90.11666666666666,48.935356,41.18131052652994
2026-01-03 08:53:25,18,166,5.3,8,75.31666666666666,34.151466,41.16520029703776
2026-01-17 10:10:48,250,35,15.2,10,101.58333333333331,60.50963,41.07370503743488
2026-01-28 15:03:31,233,72,12.1,15,94.91666666666669,54.22937,40.687296549479186
2026-01-29 18:19:50,171,140,10.2,18,89.83333333333333,49.159473,40.673859914143875
2026-01-28 13:59:53,162,75,3.52,13,65.65,25.0367,40.61330070495606
