tpep_pickup_datetime,PULocationID,DOLocationID,trip_distance,pickup_hour,trip_duration_min,prediction,abs_error
2026-01-11 00:21:47,132,265,73.58,0,91.91666666666669,186.12031013073604,94.20364346406936
2026-01-08 09:07:14,90,235,1.72,9,102.23333333333332,8.076881765919307,94.15645156741401
2026-01-03 02:16:31,170,265,59.75,2,69.65,163.1007896703965,93.45078967039649
2026-01-27 16:10:29,145,72,10.8,16,153.55,60.202477389846294,93.34752261015372
2026-01-28 07:18:25,39,137,8.0,7,142.78333333333333,49.71855945982758,93.06477387350574
2026-01-29 07:11:00,132,142,21.33,7,148.48333333333332,55.476467324355696,93.00686600897762
2026-01-28 14:05:11,140,72,14.0,14,163.91666666666666,71.12448902602728,92.79217764063938
2026-01-13 19:32:52,132,265,69.9,19,85.05,177.45962475727669,92.40962475727669
2026-01-13 14:38:28,161,210,15.8,14,161.38333333333333,69.14714398843465,92.23618934489868
2026-01-10 19:34:40,142,221,20.95,19,139.68333333333334,47.478364087027856,92.20496924630548
2026-01-28 08:18:09,182,234,10.5,8,148.88333333333333,56.75342731109489,92.12990602223843
2026-01-16 13:02:25,210,263,16.4,13,165.43333333333334,73.42380201138576,92.00953132194758
2026-01-20 08:34:40,14,140,12.0,8,150.36666666666667,58.39867542419587,91.9679912424708
2026-01-15 23:45:27,132,265,66.6,23,75.78333333333333,167.59539533589341,91.81206200256008
